crop,season,temp,demand,region,price
rice,summer,32,80,south,60
wheat,winter,18,70,north,55
tomato,summer,34,90,south,95
mango,summer,35,92,south,140
banana,all,30,75,south,80
potato,winter,16,60,north,45
onion,winter,22,68,north,55
grapes,summer,30,85,south,100
apple,winter,15,80,north,120
orange,winter,20,75,south,90
papaya,summer,33,70,south,75
guava,summer,32,72,south,70
pomegranate,summer,30,88,south,130
ginger,monsoon,26,78,south,70
turmeric,monsoon,27,76,south,85
chilli,summer,34,90,south,95
garlic,winter,18,75,north,110
carrot,winter,16,65,north,60
cabbage,winter,15,60,north,50
cauliflower,winter,17,62,north,55
brinjal,summer,30,70,south,65
cucumber,summer,31,68,south,55
spinach,winter,20,60,north,40
maize,summer,29,75,south,65
barley,winter,18,70,north,58
cotton,summer,35,85,south,150
sugarcane,summer,34,80,south,90
coconut,all,30,78,south,120